FK_QUART_NAME,stop_id,geometry,node
Gasperich,200412016,POINT (76829.31381560887 72728.1154123631),pt_200412016
Gare,200405001,POINT (77464.70923676099 74267.99319094344),pt_200405001
Kirchberg,200417016,POINT (78392.15985829328 76687.40576803472),pt_200417016
Kirchberg,200417007,POINT (77924.23545855339 76253.4569642614),pt_200417007
Ville Haute,200423004,POINT (77612.72403870891 75226.10800750654),pt_200423004
Ville Haute,200405020,POINT (76953.95437736077 75209.3009883783),pt_200405020
Kirchberg,200417004,POINT (80129.73454134233 77521.3605576861),pt_200417004
Gare,200405003,POINT (77267.92944004922 73489.08621896457),pt_200405003
Gasperich,200412002,POINT (76400.2139949591 72777.98220644153),pt_200412002
Gare,200404017,POINT (77757.05925686212 74343.05450161439),pt_200404017
Gare,200405039,POINT (77557.45399979316 74275.51497480748),pt_200405039
Grund,200408006,POINT (77907.55775851115 75128.11442265862),pt_200408006
Ville Haute,200403015,POINT (76581.69091668412 74759.06729499882),pt_200403015
Gasperich,200412004,POINT (76360.48387980342 71733.968371192),pt_200412004
Gasperich,200412008,POINT (76590.01586053192 72546.07569682201),pt_200412008
Kirchberg,200417022,POINT (79775.62249511182 78076.36114146761),pt_200417022
Kirchberg,200417020,POINT (79975.79038138966 77172.34029719088),pt_200417020
Ville Haute,200413001,POINT (77633.38463364256 74862.73583857295),pt_200413001
Grund,200413001,POINT (77633.38463364256 74862.73583857295),pt_200413001
Ville Haute,200403020,POINT (76600.50478594113 75029.88210813396),pt_200403020
Kirchberg,200417021,POINT (78650.22177499636 76583.01185559078),pt_200417021
Gasperich,200407011,POINT (76175.92733826864 72781.58039630011),pt_200407011
Gasperich,200412006,POINT (76183.9120365043 72092.4438975208),pt_200412006
Ville Haute,200405025,POINT (76884.2906026102 75092.55613415242),pt_200405025
Kirchberg,200417036,POINT (79953.39280023257 77528.69777873333),pt_200417036
Ville Haute,200405005,POINT (77184.61738659586 75435.07211779052),pt_200405005
Ville Haute,200405014,POINT (77010.36142817048 75676.73818996151),pt_200405014
Gare,200404001,POINT (77740.44295159809 74544.48464596657),pt_200404001
Ville Haute,200405013,POINT (77363.5959584739 74907.56807287893),pt_200405013
Gare,200405036,POINT (77463.35172089424 73825.66323940325),pt_200405036
Gare,200415003,POINT (77003.11953667362 73771.28172813979),pt_200415003
Kirchberg,200417031,POINT (78114.22266476757 76096.56624997935),pt_200417031
Kirchberg,200417012,POINT (79991.24590077349 77666.16938276179),pt_200417012
Kirchberg,200417002,POINT (79591.94222974069 77109.84377677384),pt_200417002
Kirchberg,200417033,POINT (80060.95202836151 77886.94781353067),pt_200417033
Gasperich,200412018,POINT (76023.20647844812 71656.12259291325),pt_200412018
Kirchberg,200417023,POINT (80097.72354947423 77786.29215381554),pt_200417023
Gasperich,200412013,POINT (76345.59650023845 72845.97458535299),pt_200412013
Kirchberg,200417029,POINT (78567.9833366239 76242.69085621918),pt_200417029
Ville Haute,200405045,POINT (76454.26165974028 75432.59881726676),pt_200405045
Gasperich,200412021,POINT (76801.05163661196 71990.61927270357),pt_200412021
Kirchberg,200417039,POINT (79465.25658178669 77523.26808123033),pt_200417039
Kirchberg,200417053,POINT (78861.0355022923 76829.10177767475),pt_200417053
Kirchberg,200417040,POINT (80477.17727565393 77914.66794435104),pt_200417040
Gasperich,200412022,POINT (76387.45107754783 72055.1593364864),pt_200412022
Gasperich,200412023,POINT (76576.67621065078 71786.10494621932),pt_200412023
Gasperich,200412028,POINT (76247.03869032064 72621.1496727255),pt_200412028
Kirchberg,200417052,POINT (80561.91581727925 77868.85327231503),pt_200417052
Kirchberg,200417066,POINT (80195.33055477009 77507.79413730095),pt_200417066
Kirchberg,200417045,POINT (79848.42042452897 77181.46107907241),pt_200417045
Kirchberg,200417046,POINT (79467.72481632374 76822.00878679901),pt_200417046
Kirchberg,200417058,POINT (77728.3157905427 76008.95461889543),pt_200417058
Ville Haute,200405061,POINT (76493.58795330058 75451.14793033211),pt_200405061
Kirchberg,200417050,POINT (80479.84398918388 77974.72853846048),pt_200417050
Kirchberg,200417049,POINT (78318.50851496204 76357.42974969353),pt_200417049
Gasperich,200412024,POINT (76665.66745361997 71973.57074093923),pt_200412024
Gasperich,200412026,POINT (76790.83694816534 72209.3985293732),pt_200412026
Ville Haute,200405049,POINT (76886.14934410446 75442.90562646731),pt_200405049
Gare,200405051,POINT (77125.40805301735 74695.47374636275),pt_200405051
Ville Haute,200405057,POINT (76965.70986838576 75163.69338242499),pt_200405057
Kirchberg,200417061,POINT (78068.35414096246 76145.85338093368),pt_200417061
Gare,200405058,POINT (77295.25735351042 74383.63266947369),pt_200405058
Gasperich,900000011,POINT (76310.80795926672 72070.2247775472),pt_900000011
Gasperich,200423006,POINT (76906.34086355714 72117.68622786117),pt_200423006
Gasperich,200423008,POINT (76565.04931215923 71695.57759788267),pt_200423008
