stop_id,route_id,n_departures,avg_headway
200101002,257,17,7.0588235294117645
200101002,258,16,7.5
200101002,263,8,15.0
200101002,278,6,20.0
200101004,276,8,15.0
200101006,275,16,7.5
200101007,257,18,6.666666666666667
200101008,275,15,8.0
200101008,276,9,13.333333333333334
200101009,258,3,40.0
200101010,275,15,8.0
200101011,278,6,20.0
200101012,275,16,7.5
200101014,275,16,7.5
200101019,278,12,10.0
200101021,258,15,8.0
200101021,263,7,17.142857142857142
200101022,278,6,20.0
200102001,276,9,13.333333333333334
200102002,276,9,13.333333333333334
200102004,276,9,13.333333333333334
200102004,2990,1,120.0
200102005,257,16,7.5
200303002,1967,25,4.8
200304002,273,8,15.0
200304002,3646,8,15.0
200304003,3646,4,30.0
200304004,3646,8,15.0
200304005,273,8,15.0
200304005,3646,8,15.0
200304007,1967,25,4.8
200304009,272,17,7.0588235294117645
200304012,1967,25,4.8
200304012,272,16,7.5
200304012,275,15,8.0
200304013,273,8,15.0
200304013,3646,8,15.0
200304015,273,8,15.0
200304016,1967,25,4.8
200304016,272,16,7.5
200304016,275,15,8.0
200304019,2466,34,3.5294117647058822
200304021,2466,35,3.4285714285714284
200401001,3646,7,17.142857142857142
200402001,1946,16,7.5
200402001,257,16,7.5
200402001,258,15,8.0
200402001,2976,1,120.0
200402002,1946,15,8.0
200402002,257,17,7.0588235294117645
200402002,258,15,8.0
200402002,2976,1,120.0
200402002,4026,1,120.0
200402003,273,8,15.0
200402003,4026,1,120.0
200402004,273,8,15.0
200402005,1946,15,8.0
200402005,257,17,7.0588235294117645
200402005,258,15,8.0
200402005,273,8,15.0
200402005,2976,1,120.0
200402005,4026,1,120.0
200402006,1946,15,8.0
200402006,257,16,7.5
200402006,258,15,8.0
200402006,2976,1,120.0
200402006,4026,1,120.0
200402007,1946,9,13.333333333333334
200402007,257,8,15.0
200402007,258,8,15.0
200402007,2976,1,120.0
200403001,259,12,10.0
200403001,278,12,10.0
200403001,2976,1,120.0
200403001,2981,2,60.0
200403002,259,12,10.0
200403002,278,12,10.0
200403002,2976,1,120.0
200403002,2981,2,60.0
200403003,260,16,7.5
200403003,272,16,7.5
200403004,262,16,7.5
200403004,2984,1,120.0
200403004,2990,1,120.0
200403005,260,16,7.5
200403006,275,16,7.5
200403006,276,8,15.0
200403006,2977,1,120.0
200403007,275,16,7.5
200403007,276,9,13.333333333333334
200403007,2977,1,120.0
200403008,262,16,7.5
200403008,2984,1,120.0
200403008,2990,1,120.0
200403009,260,16,7.5
200403009,270,25,4.8
200403009,272,15,8.0
200403010,259,12,10.0
200403010,260,16,7.5
200403010,278,12,10.0
200403010,2976,1,120.0
200403010,2981,2,60.0
200403012,260,16,7.5
200403013,268,12,10.0
200403013,275,16,7.5
200403013,276,9,13.333333333333334
200403013,2984,1,120.0
200403013,2990,1,120.0
200403014,259,12,10.0
200403014,2976,1,120.0
200403014,2981,2,60.0
200403015,262,16,7.5
200403015,2984,1,120.0
200403015,2990,1,120.0
200403016,278,12,10.0
200403017,258,16,7.5
200403017,263,8,15.0
200403017,270,25,4.8
200403018,258,16,7.5
200403018,263,8,15.0
200403018,270,25,4.8
200403019,260,16,7.5
200403019,272,16,7.5
200403019,278,12,10.0
200403020,258,7,17.142857142857142
200403020,259,6,20.0
200403020,260,16,7.5
200403020,262,16,7.5
200403020,263,8,15.0
200403020,269,8,15.0
200403020,270,12,10.0
200403020,275,16,7.5
200403020,276,8,15.0
200403020,278,6,20.0
200403021,258,16,7.5
200403021,263,8,15.0
200403021,270,25,4.8
200403022,259,12,10.0
200403022,278,12,10.0
200403022,2976,1,120.0
200403022,2981,2,60.0
200403023,278,12,10.0
200404001,1967,25,4.8
200404003,267,24,5.0
200404003,2979,1,120.0
200404004,277,1,120.0
200404006,277,1,120.0
200404007,267,12,10.0
200404007,271,12,10.0
200404007,2979,1,120.0
200404008,1967,25,4.8
200404009,2466,69,1.7391304347826086
200404013,273,8,15.0
200404013,275,16,7.5
200404013,2979,1,120.0
200404013,3013,1,120.0
200404013,3646,8,15.0
200404014,279,16,7.5
200404014,2987,1,120.0
200404016,1967,25,4.8
200404017,273,8,15.0
200404017,275,15,8.0
200404017,2979,1,120.0
200404017,3013,1,120.0
200404017,3646,8,15.0
200404018,267,24,5.0
200404018,2979,1,120.0
200404019,267,24,5.0
200404019,277,1,120.0
200404019,2979,1,120.0
200404021,267,24,5.0
200404021,2979,1,120.0
200404022,267,24,5.0
200404022,2979,1,120.0
200404023,279,16,7.5
200404023,2987,1,120.0
200404025,1947,8,15.0
200404026,267,24,5.0
200404026,273,8,15.0
200404026,275,16,7.5
200404026,277,1,120.0
200404026,2979,1,120.0
200404026,3013,1,120.0
200404026,3646,8,15.0
200404027,267,24,5.0
200404027,271,12,10.0
200404027,273,8,15.0
200404027,275,16,7.5
200404027,2979,1,120.0
200404027,3013,1,120.0
200404027,3646,8,15.0
200404029,267,24,5.0
200404029,2979,1,120.0
200404030,1947,8,15.0
200404030,1967,25,4.8
200404030,2978,1,120.0
200404031,2466,69,1.7391304347826086
200404032,1967,26,4.615384615384615
200404032,267,24,5.0
200404032,271,12,10.0
200404032,273,8,15.0
200404032,275,16,7.5
200404033,267,12,10.0
200404033,271,6,20.0
200404033,2979,1,120.0
200404034,267,24,5.0
200404034,279,16,7.5
200404035,267,24,5.0
200404035,277,1,120.0
200404035,2979,1,120.0
200404036,273,8,15.0
200404036,275,16,7.5
200404036,2979,1,120.0
200404036,3013,1,120.0
200404036,3646,8,15.0
200404037,267,12,10.0
200404037,271,6,20.0
200404037,273,8,15.0
200404037,275,16,7.5
200404037,2979,1,120.0
200404037,3013,1,120.0
200404037,3646,8,15.0
200404038,267,24,5.0
200404038,277,1,120.0
200404038,2979,1,120.0
200404041,2601,8,15.0
200405001,1967,13,9.23076923076923
200405001,257,17,7.0588235294117645
200405001,260,16,7.5
200405001,261,16,7.5
200405001,265,12,10.0
200405001,270,24,5.0
200405001,271,12,10.0
200405001,274,8,15.0
200405001,2989,2,60.0
200405001,3012,2,60.0
200405003,260,16,7.5
200405003,265,12,10.0
200405003,271,12,10.0
200405003,3012,2,60.0
200405005,1968,12,10.0
200405005,257,16,7.5
200405005,258,16,7.5
200405005,2601,8,15.0
200405005,261,16,7.5
200405005,262,16,7.5
200405005,279,16,7.5
200405005,2987,1,120.0
200405008,260,16,7.5
200405008,272,15,8.0
200405013,257,17,7.0588235294117645
200405013,260,16,7.5
200405013,261,16,7.5
200405013,265,12,10.0
200405013,267,24,5.0
200405013,270,25,4.8
200405013,273,8,15.0
200405013,274,8,15.0
200405013,275,16,7.5
200405013,279,16,7.5
200405013,3646,8,15.0
200405014,1968,12,10.0
200405014,259,12,10.0
200405014,2601,8,15.0
200405014,263,7,17.142857142857142
200405014,265,12,10.0
200405014,267,24,5.0
200405014,269,8,15.0
200405014,273,8,15.0
200405014,274,8,15.0
200405014,276,9,13.333333333333334
200405014,278,12,10.0
200405014,2984,1,120.0
200405014,2987,1,120.0
200405014,2989,2,60.0
200405014,2990,1,120.0
200405014,3012,2,60.0
200405014,3013,1,120.0
200405014,3646,8,15.0
200405020,257,17,7.0588235294117645
200405020,258,16,7.5
200405020,259,6,20.0
200405020,261,16,7.5
200405020,262,16,7.5
200405020,263,8,15.0
200405020,265,12,10.0
200405020,267,24,5.0
200405020,269,8,15.0
200405020,270,13,9.23076923076923
200405020,273,8,15.0
200405020,274,8,15.0
200405020,276,9,13.333333333333334
200405020,278,13,9.23076923076923
200405020,279,16,7.5
200405020,3646,8,15.0
200405025,259,7,17.142857142857142
200405025,260,16,7.5
200405025,264,30,4.0
200405025,270,12,10.0
200405025,275,16,7.5
200405036,1947,8,15.0
200405036,1967,25,4.8
200405036,257,17,7.0588235294117645
200405036,260,16,7.5
200405036,261,16,7.5
200405036,265,12,10.0
200405036,268,13,9.23076923076923
200405036,270,26,4.615384615384615
200405036,271,12,10.0
200405036,274,8,15.0
200405036,277,1,120.0
200405036,2989,2,60.0
200405036,3012,2,60.0
200405039,1947,8,15.0
200405039,1967,12,10.0
200405039,267,24,5.0
200405039,268,13,9.23076923076923
200405039,273,8,15.0
200405039,275,15,8.0
200405039,277,1,120.0
200405039,279,16,7.5
200405039,3646,8,15.0
200405045,258,16,7.5
200405045,259,12,10.0
200405045,263,8,15.0
200405045,269,8,15.0
200405045,270,24,5.0
200405045,278,12,10.0
200405045,2976,1,120.0
200405045,2977,1,120.0
200405045,2981,2,60.0
200405046,267,24,5.0
200405046,268,13,9.23076923076923
200405046,279,16,7.5
200405049,259,6,20.0
200405049,2984,1,120.0
200405049,2990,1,120.0
200405051,2466,68,1.7647058823529411
200405057,2466,69,1.7391304347826086
200405058,2466,68,1.7647058823529411
200405059,2466,68,1.7647058823529411
200405061,2466,68,1.7647058823529411
200406002,261,16,7.5
200406002,2978,1,120.0
200406002,2983,1,120.0
200406002,2988,1,120.0
200406003,1967,25,4.8
200406003,261,16,7.5
200406003,2978,1,120.0
200406003,2983,1,120.0
200406003,2988,1,120.0
200406003,366,4,30.0
200406004,1967,25,4.8
200406004,261,16,7.5
200406004,2978,1,120.0
200406004,2983,1,120.0
200406004,2988,1,120.0
200406004,366,4,30.0
200406005,261,16,7.5
200406005,2978,1,120.0
200406005,2983,1,120.0
200406005,2988,1,120.0
200406006,261,8,15.0
200406006,262,8,15.0
200406006,2983,1,120.0
200406007,261,16,7.5
200406007,262,16,7.5
200406007,2978,1,120.0
200406007,2983,1,120.0
200406007,2988,1,120.0
200406008,261,16,7.5
200406008,2978,1,120.0
200406008,2983,1,120.0
200406008,2988,1,120.0
200406010,261,16,7.5
200406010,2978,1,120.0
200406010,2983,1,120.0
200406010,2988,1,120.0
200406011,261,16,7.5
200406011,262,16,7.5
200406011,2983,1,120.0
200406012,261,16,7.5
200406012,2978,1,120.0
200406012,2983,1,120.0
200406012,2988,1,120.0
200406012,366,4,30.0
200406013,262,16,7.5
200406013,2978,1,120.0
200406013,2988,1,120.0
200406014,261,16,7.5
200406014,2978,1,120.0
200406014,2983,1,120.0
200406014,2988,1,120.0
200406015,262,16,7.5
200406015,2978,1,120.0
200406015,2988,1,120.0
200406016,1967,25,4.8
200406016,261,8,15.0
200406016,2978,1,120.0
200406016,366,4,30.0
200406017,261,16,7.5
200406017,2978,1,120.0
200406017,2983,1,120.0
200406017,2988,1,120.0
200406018,1967,26,4.615384615384615
200406018,261,16,7.5
200406018,2978,1,120.0
200406018,2983,1,120.0
200406018,2988,1,120.0
200406018,366,4,30.0
200406019,1967,25,4.8
200406019,261,16,7.5
200406019,279,16,7.5
200406019,2978,1,120.0
200406019,2983,1,120.0
200406019,2988,1,120.0
200406019,366,4,30.0
200406024,1967,25,4.8
200406024,262,16,7.5
200406024,2978,1,120.0
200406024,2988,1,120.0
200406024,366,4,30.0
200407001,1947,8,15.0
200407001,261,16,7.5
200407001,274,8,15.0
200407001,2980,1,120.0
200407001,2989,1,120.0
200407002,1947,7,17.142857142857142
200407002,260,16,7.5
200407002,2980,1,120.0
200407003,1947,8,15.0
200407003,261,16,7.5
200407003,274,8,15.0
200407003,2980,1,120.0
200407003,2989,2,60.0
200407004,1947,8,15.0
200407004,261,16,7.5
200407004,274,8,15.0
200407004,2980,1,120.0
200407004,2989,2,60.0
200407005,260,16,7.5
200407005,261,16,7.5
200407006,1947,8,15.0
200407006,274,8,15.0
200407006,2980,1,120.0
200407006,2989,1,120.0
200407007,1947,8,15.0
200407007,261,16,7.5
200407007,274,8,15.0
200407007,2980,1,120.0
200407007,2989,1,120.0
200407008,1947,8,15.0
200407008,274,8,15.0
200407008,2980,1,120.0
200407008,2989,1,120.0
200407009,1947,7,17.142857142857142
200407009,260,16,7.5
200407009,2980,1,120.0
200407010,1947,8,15.0
200407010,260,16,7.5
200407010,261,16,7.5
200407010,274,8,15.0
200407010,2980,1,120.0
200407010,2989,1,120.0
200407011,1947,7,17.142857142857142
200407011,260,16,7.5
200407011,2980,1,120.0
200407012,1947,7,17.142857142857142
200407012,260,16,7.5
200407012,2980,1,120.0
200407014,261,16,7.5
200408001,261,16,7.5
200408001,262,16,7.5
200408001,271,12,10.0
200408001,279,16,7.5
200408001,2983,1,120.0
200408001,2987,1,120.0
200408002,1946,15,8.0
200408002,279,16,7.5
200408002,2987,1,120.0
200408003,1946,15,8.0
200408003,279,16,7.5
200408003,2987,1,120.0
200408005,261,16,7.5
200408005,262,16,7.5
200408005,279,16,7.5
200408005,2987,1,120.0
200408006,261,16,7.5
200408006,262,16,7.5
200408006,271,12,10.0
200408006,2983,1,120.0
200408007,1946,15,8.0
200408007,271,12,10.0
200408008,261,16,7.5
200408008,262,16,7.5
200408008,271,12,10.0
200408008,2983,1,120.0
200409003,271,12,10.0
200409003,2981,1,120.0
200409003,2982,1,120.0
200409005,2601,8,15.0
200409005,271,12,10.0
200409007,1946,15,8.0
200409007,257,17,7.0588235294117645
200409007,258,15,8.0
200409007,273,8,15.0
200409007,2976,1,120.0
200409007,4026,1,120.0
200409008,2601,8,15.0
200409008,366,4,30.0
200409009,2601,8,15.0
200409009,274,8,15.0
200409009,2981,1,120.0
200409009,2982,1,120.0
200409010,2601,8,15.0
200409010,274,8,15.0
200409010,2981,1,120.0
200409010,2982,1,120.0
200409011,2601,8,15.0
200409011,271,12,10.0
200409011,274,8,15.0
200409011,2981,1,120.0
200409011,2982,1,120.0
200409012,2601,4,30.0
200409014,271,12,10.0
200410001,269,8,15.0
200410002,3646,4,30.0
200410003,1946,15,8.0
200410003,1968,12,10.0
200410003,257,16,7.5
200410003,258,16,7.5
200410003,2601,8,15.0
200410003,269,8,15.0
200410003,271,12,10.0
200410003,273,8,15.0
200410003,274,8,15.0
200410003,2976,1,120.0
200410003,2981,1,120.0
200410003,3646,4,30.0
200410003,4026,1,120.0
200410004,1946,15,8.0
200410004,257,17,7.0588235294117645
200410004,258,16,7.5
200410004,273,8,15.0
200410004,2976,1,120.0
200410004,4026,1,120.0
200410005,1968,12,10.0
200410005,257,16,7.5
200410005,258,15,8.0
200410005,2601,8,15.0
200410005,273,8,15.0
200410005,274,8,15.0
200410005,2976,1,120.0
200410005,2981,1,120.0
200410005,3646,8,15.0
200412001,1823,1,120.0
200412001,260,16,7.5
200412001,271,12,10.0
200412001,3012,2,60.0
200412002,1947,7,17.142857142857142
200412003,1823,1,120.0
200412003,260,16,7.5
200412003,271,12,10.0
200412003,3012,2,60.0
200412004,1947,7,17.142857142857142
200412004,268,12,10.0
200412004,272,16,7.5
200412004,275,15,8.0
200412005,260,16,7.5
200412005,271,12,10.0
200412005,3012,2,60.0
200412006,265,12,10.0
200412006,272,8,15.0
200412007,1823,1,120.0
200412007,260,16,7.5
200412007,271,12,10.0
200412007,3012,2,60.0
200412008,1947,7,17.142857142857142
200412008,271,11,10.909090909090908
200412008,3012,2,60.0
200412009,1823,1,120.0
200412009,265,12,10.0
200412009,272,16,7.5
200412011,1823,1,120.0
200412011,260,17,7.0588235294117645
200412011,271,12,10.0
200412011,3012,2,60.0
200412012,1823,1,120.0
200412012,265,12,10.0
200412013,1823,1,120.0
200412013,260,16,7.5
200412013,271,12,10.0
200412013,3012,2,60.0
200412016,260,16,7.5
200412016,271,12,10.0
200412016,3012,2,60.0
200412018,1947,7,17.142857142857142
200412018,265,12,10.0
200412018,268,12,10.0
200412018,275,15,8.0
200412020,1823,1,120.0
200412020,260,16,7.5
200412020,271,12,10.0
200412020,3012,2,60.0
